"","id","group"
"107","00900 M NTerpenoid backbone biosynthesis","1.9 Metabolism of terpenoids and polyketides"
"108","00902Monoterpenoid biosynthesis","1.9 Metabolism of terpenoids and polyketides"
"109","00909Sesquiterpenoid and triterpenoid biosynthesis","1.9 Metabolism of terpenoids and polyketides"
"110","00904 MDiterpenoid biosynthesis Including: Gibberellin biosynthesis","1.9 Metabolism of terpenoids and polyketides"
"111","00906 MCarotenoid biosynthesis","1.9 Metabolism of terpenoids and polyketides"
"112","00905 MBrassinosteroid biosynthesis","1.9 Metabolism of terpenoids and polyketides"
"113","00981Insect hormone biosynthesis","1.9 Metabolism of terpenoids and polyketides"
"114","00908Zeatin biosynthesis","1.9 Metabolism of terpenoids and polyketides"
"115","00903Limonene degradation Title changed!00907Pinene, camphor and geraniol degradation New!01052Type I polyketide structures","1.9 Metabolism of terpenoids and polyketides"
"116","00522 MBiosynthesis of 12-, 14- and 16-membered macrolides Including: Tylosin biosynthesis, Mycinamicin biosynthesis, Erythromycin biosynthesis, Oleandomycin biosynthesis, Pikromycin/methymycin biosynthesis, Avermectin biosynthesis","1.9 Metabolism of terpenoids and polyketides"
"117","01051Biosynthesis of ansamycins","1.9 Metabolism of terpenoids and polyketides"
"118","01059 MBiosynthesis of enediyne antibiotics","1.9 Metabolism of terpenoids and polyketides"
"119","01056 MBiosynthesis of type II polyketide backbone","1.9 Metabolism of terpenoids and polyketides"
"120","01057 MBiosynthesis of type II polyketide products","1.9 Metabolism of terpenoids and polyketides"
"121","00253 MTetracycline biosynthesis","1.9 Metabolism of terpenoids and polyketides"
"122","00523 MPolyketide sugar unit biosynthesis","1.9 Metabolism of terpenoids and polyketides"
"123","01054Nonribosomal peptide structures","1.9 Metabolism of terpenoids and polyketides"
"124","01053Biosynthesis of siderophore group nonribosomal peptides","1.9 Metabolism of terpenoids and polyketides"
"125","01055Biosynthesis of vancomycin group antibiotics","1.9 Metabolism of terpenoids and polyketides"
"126","00940 MPhenylpropanoid biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"127","00945Stilbenoid, diarylheptanoid and gingerol biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"128","00941 MFlavonoid biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"129","00944Flavone and flavonol biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"130","00942Anthocyanin biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"131","00943 MIsoflavonoid biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"132","00946 MDegradation of flavonoids","1.10 Biosynthesis of other secondary metabolites"
"133","00901 MIndole alkaloid biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"134","00403 MIndole diterpene alkaloid biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"135","00950 MIsoquinoline alkaloid biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"136","00960Tropane, piperidine and pyridine alkaloid biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"137","00996Biosynthesis of various alkaloids Including: Cucurbitacin biosynthesis, Solanine and tomatine biosynthesis, Ephedrine biosynthesis, Capsaicin biosynthesis, Acridone alkaloid biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"138","00232 MCaffeine metabolism","1.10 Biosynthesis of other secondary metabolites"
"139","00965 MBetalain biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"140","00966 MGlucosinolate biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"141","00402Benzoxazinoid biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"142","00311 MPenicillin and cephalosporin biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"143","00332 MCarbapenem biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"144","00261 MMonobactam biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"145","00331 MClavulanic acid biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"146","00521 MStreptomycin biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"147","00524Neomycin, kanamycin and gentamicin biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"148","00525 MAcarbose and validamycin biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"149","00401Novobiocin biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"150","00404 MStaurosporine biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"151","00405 MPhenazine biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"152","00333 MProdigiosin biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"153","00254 MAflatoxin biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"154","00998 MBiosynthesis of various antibiotics Including: Kanosamine biosynthesis, Aurachin biosynthesis, Bacilysin biosynthesis, Puromycin biosynthesis, Dapdiamides biosynthesis, Fosfomycin biosynthesis, Cremeomycin biosynthesis, Fumagillin biosynthesis, Pentalenolactone biosynthesis, Terpentecin biosynthesis, Roseoflavin biosynthesis, Cycloserine biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"155","00999 MBiosynthesis of various plant secondary metabolites Including: Crocin biosynthesis, Ginsenoside biosynthesis, Saponin adjuvant biosynthesis, Cannabidiol biosynthesis, Mugineic acid biosynthesis, Pentagalloylglucose biosynthesis, Benzoxazinoid biosynthesis, Gramine biosynthesis, Coumarin biosynthesis, Furanocoumarin biosynthesis, Hordatine biosynthesis, Podophyllotoxin biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"156","00997 MBiosynthesis of various other secondary metabolites Including: Ditryptophenaline biosynthesis, Fumiquinazoline D biosynthesis, Paerucumarin biosynthesis, Staphyloferrin B biosynthesis, Cyclooctatin biosynthesis, Lovastatin biosynthesis, Grixazone biosynthesis, Staphyloferrin A biosynthesis, Ethynylserine biosynthesis, Aerobactin biosynthesis","1.10 Biosynthesis of other secondary metabolites"
"157","00362 MBenzoate degradation","1.11 Xenobiotics biodegradation and metabolism"
"158","00627 MAminobenzoate degradation","1.11 Xenobiotics biodegradation and metabolism"
"159","00364Fluorobenzoate degradation","1.11 Xenobiotics biodegradation and metabolism"
"160","00625Chloroalkane and chloroalkene degradation","1.11 Xenobiotics biodegradation and metabolism"
"161","00361 MChlorocyclohexane and chlorobenzene degradation","1.11 Xenobiotics biodegradation and metabolism"
"162","00623 MToluene degradation","1.11 Xenobiotics biodegradation and metabolism"
"163","00622 MXylene degradation","1.11 Xenobiotics biodegradation and metabolism"
"164","00633Nitrotoluene degradation","1.11 Xenobiotics biodegradation and metabolism"
"165","00642Ethylbenzene degradation","1.11 Xenobiotics biodegradation and metabolism"
"166","00643Styrene degradation","1.11 Xenobiotics biodegradation and metabolism"
"167","00791Atrazine degradation","1.11 Xenobiotics biodegradation and metabolism"
"168","00930Caprolactam degradation","1.11 Xenobiotics biodegradation and metabolism"
"169","00363Bisphenol degradation","1.11 Xenobiotics biodegradation and metabolism"
"170","00621 MDioxin degradation","1.11 Xenobiotics biodegradation and metabolism"
"171","00626 MNaphthalene degradation","1.11 Xenobiotics biodegradation and metabolism"
"172","00624 MPolycyclic aromatic hydrocarbon degradation","1.11 Xenobiotics biodegradation and metabolism"
"173","00365Furfural degradation","1.11 Xenobiotics biodegradation and metabolism"
"174","00984Steroid degradation","1.11 Xenobiotics biodegradation and metabolism"
"175","00980Metabolism of xenobiotics by cytochrome P45000982Drug metabolism - cytochrome P45000983Drug metabolism - other enzymes","1.11 Xenobiotics biodegradation and metabolism"
"176","01010Overview of biosynthetic pathways","1.12 Chemical structure transformation maps"
"177","01060Biosynthesis of plant secondary metabolites","1.12 Chemical structure transformation maps"
"178","01061Biosynthesis of phenylpropanoids","1.12 Chemical structure transformation maps"
"179","01062Biosynthesis of terpenoids and steroids","1.12 Chemical structure transformation maps"
"180","01063Biosynthesis of alkaloids derived from shikimate pathway","1.12 Chemical structure transformation maps"
"181","01064Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid","1.12 Chemical structure transformation maps"
"182","01065Biosynthesis of alkaloids derived from histidine and purine","1.12 Chemical structure transformation maps"
"183","01066Biosynthesis of alkaloids derived from terpenoid and polyketide","1.12 Chemical structure transformation maps"
"184","01070Biosynthesis of plant hormones","1.12 Chemical structure transformation maps"
"185","03020RNA polymerase","2.1 Transcription"
"186","03022Basal transcription factors","2.1 Transcription"
"187","03040Spliceosome","2.1 Transcription"
"188","03010Ribosome","2.2 Translation"
"189","00970Aminoacyl-tRNA biosynthesis","2.2 Translation"
"190","03013Nucleocytoplasmic transport","2.2 Translation"
"191","03015mRNA surveillance pathway","2.2 Translation"
"192","03008Ribosome biogenesis in eukaryotes","2.2 Translation"
"193","03060Protein export","2.3 Folding, sorting and degradation"
"194","04141 NProtein processing in endoplasmic reticulum","2.3 Folding, sorting and degradation"
"195","04130SNARE interactions in vesicular transport","2.3 Folding, sorting and degradation"
"196","04120Ubiquitin mediated proteolysis","2.3 Folding, sorting and degradation"
"197","04122Sulfur relay system","2.3 Folding, sorting and degradation"
"198","03050Proteasome","2.3 Folding, sorting and degradation"
"199","03018RNA degradation","2.3 Folding, sorting and degradation"
"200","03030DNA replication","2.4 Replication and repair"
"201","03410 NBase excision repair","2.4 Replication and repair"
"202","03420 NNucleotide excision repair","2.4 Replication and repair"
"203","03430Mismatch repair","2.4 Replication and repair"
"204","03440Homologous recombination","2.4 Replication and repair"
"205","03450Non-homologous end-joining","2.4 Replication and repair"
"206","03460Fanconi anemia pathway","2.4 Replication and repair"
"207","03083Polycomb repressive complex","2.5 Chromosome"
"208","03230Viral genome structure","2.6 Information processing in viruses"
"209","03240Viral replication","2.6 Information processing in viruses"
"210","03250Viral life cycle - HIV-103260Virion - Human immunodeficiency virus","2.6 Information processing in viruses"
"211","03262Virion - Coronavirus","2.6 Information processing in viruses"
"212","03261Virion - Influenza A virus","2.6 Information processing in viruses"
"213","03263Virion - Enterovirus","2.6 Information processing in viruses"
"214","03264Virion - Flavivirus","2.6 Information processing in viruses"
"215","03265Virion - Lyssavirus","2.6 Information processing in viruses"
"216","03266Virion - Herpesvirus","2.6 Information processing in viruses"
"217","03268Virion - Orthopoxvirus","2.6 Information processing in viruses"
"218","03267Virion - Adenovirus","2.6 Information processing in viruses"
"219","02010ABC transporters","3.1 Membrane transport"
"220","02060Phosphotransferase system (PTS)03070Bacterial secretion system","3.1 Membrane transport"
"221","02020Two-component system","3.2 Signal transduction"
"222","04010 NMAPK signaling pathway","3.2 Signal transduction"
"223","04013MAPK signaling pathway - fly","3.2 Signal transduction"
"224","04016MAPK signaling pathway - plant","3.2 Signal transduction"
"225","04011MAPK signaling pathway - yeast","3.2 Signal transduction"
"226","04012 NErbB signaling pathway","3.2 Signal transduction"
"227","04014 NRas signaling pathway","3.2 Signal transduction"
"228","04015Rap1 signaling pathway","3.2 Signal transduction"
"229","04310 NWnt signaling pathway","3.2 Signal transduction"
"230","04330 NNotch signaling pathway","3.2 Signal transduction"
"231","04340 NHedgehog signaling pathway","3.2 Signal transduction"
"232","04341Hedgehog signaling pathway - fly","3.2 Signal transduction"
"233","04350 NTGF-beta signaling pathway","3.2 Signal transduction"
"234","04390Hippo signaling pathway","3.2 Signal transduction"
"235","04391Hippo signaling pathway - fly","3.2 Signal transduction"
"236","04392Hippo signaling pathway - multiple species","3.2 Signal transduction"
"237","04370VEGF signaling pathway","3.2 Signal transduction"
"238","04371Apelin signaling pathway","3.2 Signal transduction"
"239","04630 NJAK-STAT signaling pathway","3.2 Signal transduction"
"240","04064 NNF-kappa B signaling pathway","3.2 Signal transduction"
"241","04668 NTNF signaling pathway","3.2 Signal transduction"
"242","04066 NHIF-1 signaling pathway","3.2 Signal transduction"
"243","04068FoxO signaling pathway","3.2 Signal transduction"
"244","04020 NCalcium signaling pathway","3.2 Signal transduction"
"245","04070Phosphatidylinositol signaling system","3.2 Signal transduction"
"246","04072Phospholipase D signaling pathway","3.2 Signal transduction"
"247","04071Sphingolipid signaling pathway","3.2 Signal transduction"
"248","04024 NcAMP signaling pathway","3.2 Signal transduction"
"249","04022cGMP-PKG signaling pathway","3.2 Signal transduction"
"250","04151 NPI3K-Akt signaling pathway","3.2 Signal transduction"
"251","04152AMPK signaling pathway","3.2 Signal transduction"
"252","04150 NmTOR signaling pathway","3.2 Signal transduction"
"253","04075Plant hormone signal transduction","3.2 Signal transduction"
"254","04080Neuroactive ligand-receptor interaction","3.3 Signaling molecules and interaction"
"255","04060Cytokine-cytokine receptor interaction","3.3 Signaling molecules and interaction"
"256","04061Viral protein interaction with cytokine and cytokine receptor","3.3 Signaling molecules and interaction"
"257","04512ECM-receptor interaction","3.3 Signaling molecules and interaction"
"258","04514Cell adhesion molecules","3.3 Signaling molecules and interaction"
"259","04144Endocytosis","4.1 Transport and catabolism"
"260","04145 NPhagosome","4.1 Transport and catabolism"
"261","04142Lysosome","4.1 Transport and catabolism"
"262","04146Peroxisome","4.1 Transport and catabolism"
"263","04140 NAutophagy - animal","4.1 Transport and catabolism"
"264","04138Autophagy - yeast","4.1 Transport and catabolism"
"265","04136Autophagy - other","4.1 Transport and catabolism"
"266","04137 NMitophagy - animal","4.1 Transport and catabolism"
"267","04139Mitophagy - yeast","4.1 Transport and catabolism"
"268","04110 NCell cycle","4.2 Cell growth and death"
"269","04111Cell cycle - yeast","4.2 Cell growth and death"
"270","04112Cell cycle - Caulobacter","4.2 Cell growth and death"
"271","04113Meiosis - yeast","4.2 Cell growth and death"
"272","04114Oocyte meiosis","4.2 Cell growth and death"
"273","04210 NApoptosis","4.2 Cell growth and death"
"274","04214Apoptosis - fly","4.2 Cell growth and death"
"275","04215Apoptosis - multiple species","4.2 Cell growth and death"
"276","04216 NFerroptosis","4.2 Cell growth and death"
"277","04217 NNecroptosis","4.2 Cell growth and death"
"278","04115p53 signaling pathway","4.2 Cell growth and death"
"279","04218Cellular senescence","4.2 Cell growth and death"
"280","04510 NFocal adhesion","4.3 Cellular community - eukaryotes"
"281","04520Adherens junction","4.3 Cellular community - eukaryotes"
"282","04530 NTight junction","4.3 Cellular community - eukaryotes"
"283","04540Gap junction","4.3 Cellular community - eukaryotes"
"284","04550Signaling pathways regulating pluripotency of stem cells","4.3 Cellular community - eukaryotes"
"285","02024Quorum sensing","4.4 Cellular community - prokaryotes"
"286","05111Biofilm formation - Vibrio cholerae","4.4 Cellular community - prokaryotes"
"287","02025Biofilm formation - Pseudomonas aeruginosa","4.4 Cellular community - prokaryotes"
"288","02026Biofilm formation - Escherichia coli","4.4 Cellular community - prokaryotes"
"289","02030Bacterial chemotaxis","4.5 Cell motility"
"290","02040Flagellar assembly","4.5 Cell motility"
"291","04814Motor proteins 04810 NRegulation of actin cytoskeleton","4.5 Cell motility"
"292","04640Hematopoietic cell lineage","5.1 Immune system"
"293","04610 NComplement and coagulation cascades","5.1 Immune system"
"294","04611Platelet activation","5.1 Immune system"
"295","04613Neutrophil extracellular trap formation","5.1 Immune system"
"296","04620 NToll-like receptor signaling pathway","5.1 Immune system"
"297","04624Toll and Imd signaling pathway","5.1 Immune system"
"298","04621 NNOD-like receptor signaling pathway","5.1 Immune system"
"299","04622 NRIG-I-like receptor signaling pathway","5.1 Immune system"
"300","04623 NCytosolic DNA-sensing pathway","5.1 Immune system"
"301","04625C-type lectin receptor signaling pathway","5.1 Immune system"
"302","04650Natural killer cell mediated cytotoxicity","5.1 Immune system"
"303","04612 NAntigen processing and presentation","5.1 Immune system"
"304","04660 NT cell receptor signaling pathway","5.1 Immune system"
"305","04658Th1 and Th2 cell differentiation","5.1 Immune system"
"306","04659Th17 cell differentiation","5.1 Immune system"
"307","04657IL-17 signaling pathway","5.1 Immune system"
"308","04662 NB cell receptor signaling pathway","5.1 Immune system"
"309","04664Fc epsilon RI signaling pathway","5.1 Immune system"
"310","04666 NFc gamma R-mediated phagocytosis","5.1 Immune system"
"311","04670Leukocyte transendothelial migration","5.1 Immune system"
"312","04672Intestinal immune network for IgA production","5.1 Immune system"
"313","04062 NChemokine signaling pathway","5.1 Immune system"
"314","04911Insulin secretion","5.2 Endocrine system"
"315","04910Insulin signaling pathway","5.2 Endocrine system"
"316","04922Glucagon signaling pathway","5.2 Endocrine system"
"317","04923Regulation of lipolysis in adipocytes","5.2 Endocrine system"
"318","04920Adipocytokine signaling pathway","5.2 Endocrine system"
"319","03320PPAR signaling pathway","5.2 Endocrine system"
"320","04929 NGnRH secretion","5.2 Endocrine system"
"321","04912 NGnRH signaling pathway","5.2 Endocrine system"
"322","04913Ovarian steroidogenesis","5.2 Endocrine system"
"323","04915 NEstrogen signaling pathway","5.2 Endocrine system"
"324","04914Progesterone-mediated oocyte maturation","5.2 Endocrine system"
"325","04917 NProlactin signaling pathway","5.2 Endocrine system"
"326","04921Oxytocin signaling pathway","5.2 Endocrine system"
"327","04926Relaxin signaling pathway","5.2 Endocrine system"
"328","04935 NGrowth hormone synthesis, secretion and action","5.2 Endocrine system"
"329","04918 NThyroid hormone synthesis","5.2 Endocrine system"
"330","04919 NThyroid hormone signaling pathway","5.2 Endocrine system"
"331","04928 NParathyroid hormone synthesis, secretion and action","5.2 Endocrine system"
"332","04916Melanogenesis","5.2 Endocrine system"
"333","04924Renin secretion","5.2 Endocrine system"
"334","04614Renin-angiotensin system","5.2 Endocrine system"
"335","04925 NAldosterone synthesis and secretion","5.2 Endocrine system"
"336","04927 NCortisol synthesis and secretion","5.2 Endocrine system"
"337","04260Cardiac muscle contraction","5.3 Circulatory system"
"338","04261 NAdrenergic signaling in cardiomyocytes","5.3 Circulatory system"
"339","04270Vascular smooth muscle contraction","5.3 Circulatory system"
"340","04970Salivary secretion","5.4 Digestive system"
"341","04971Gastric acid secretion","5.4 Digestive system"
"342","04972Pancreatic secretion","5.4 Digestive system"
"343","04976Bile secretion","5.4 Digestive system"
"344","04973Carbohydrate digestion and absorption","5.4 Digestive system"
"345","04974Protein digestion and absorption","5.4 Digestive system"
"346","04975Fat digestion and absorption","5.4 Digestive system"
"347","04979 NCholesterol metabolism","5.4 Digestive system"
"348","04977Vitamin digestion and absorption","5.4 Digestive system"
"349","04978Mineral absorption","5.4 Digestive system"
"350","04962 NVasopressin-regulated water reabsorption","5.5 Excretory system"
"351","04960Aldosterone-regulated sodium reabsorption","5.5 Excretory system"
"352","04961 NEndocrine and other factor-regulated calcium reabsorption","5.5 Excretory system"
"353","04964Proximal tubule bicarbonate reclamation","5.5 Excretory system"
"354","04966Collecting duct acid secretion","5.5 Excretory system"
"355","04724 NGlutamatergic synapse","5.6 Nervous system"
"356","04727GABAergic synapse","5.6 Nervous system"
"357","04725Cholinergic synapse","5.6 Nervous system"
"358","04728 NDopaminergic synapse","5.6 Nervous system"
"359","04726Serotonergic synapse","5.6 Nervous system"
"360","04720 NLong-term potentiation","5.6 Nervous system"
"361","04730 NLong-term depression","5.6 Nervous system"
"362","04723Retrograde endocannabinoid signaling","5.6 Nervous system"
"363","04721Synaptic vesicle cycle","5.6 Nervous system"
"364","04722Neurotrophin signaling pathway","5.6 Nervous system"
"365","04744Phototransduction","5.7 Sensory system"
"366","04745Phototransduction - fly","5.7 Sensory system"
"367","04740Olfactory transduction","5.7 Sensory system"
"368","04742Taste transduction","5.7 Sensory system"
"369","04750Inflammatory mediator regulation of TRP channels","5.7 Sensory system"
"370","04320Dorso-ventral axis formation","5.8 Development and regeneration"
"371","04360Axon guidance","5.8 Development and regeneration"
"372","04361Axon regeneration","5.8 Development and regeneration"
"373","04380Osteoclast differentiation","5.8 Development and regeneration"
"374","04211Longevity regulating pathway","5.9 Aging"
"375","04212Longevity regulating pathway - worm","5.9 Aging"
"376","04213Longevity regulating pathway - multiple species","5.9 Aging"
"377","04710Circadian rhythm","5.10 Environmental adaptation"
"378","04713Circadian entrainment","5.10 Environmental adaptation"
