"","experimental_mz","adduct_ion","full_name","short_name","theory_mz","molecular_mass"
"PI 32:1.PI(12:0/20:1(11Z))",807.503471270302,"[M-H]-","PI(12:0/20:1(11Z))","PI 32:1",807.50290653,808.510183
"PI 34:0.
PI(12:0/22:0)",837.541757432872,"[M-H]-","
PI(12:0/22:0)","PI 34:0",837.54985653,838.557133
"PI 36:4.PI(14:0/22:4(7Z,10Z,13Z,16Z))",857.51507808003,"[M-H]-","PI(14:0/22:4(7Z,10Z,13Z,16Z))","PI 36:4",857.51855653,858.525833
"PS 36:1.PS(14:0/22:1(11Z))",788.543667988911,"[M-H]-","PS(14:0/22:1(11Z))","PS 36:1",788.54471053,789.551987
"PS 38:5.PS(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))",808.516987316801,"[M-H]-","PS(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))","PS 38:5",808.51341053,809.520687
"PS 40:5.PS(18:1(9Z)/22:4(7Z,10Z,13Z,16Z))",836.539170959579,"[M-H]-","PS(18:1(9Z)/22:4(7Z,10Z,13Z,16Z))","PS 40:5",836.54471053,837.551987
"SM 33:1.
SM(d18:1/15:0)",687.54538055019,"[M-H]-","
SM(d18:1/15:0)","SM 33:1",687.54464953,688.551926
"SM 34:2.SM(d18:1/16:1)",699.54826667207,"[M-H]-","SM(d18:1/16:1)","SM 34:2",699.54464953,700.551926
"SM 35:1 (a\b).SM(d18:1/17:0)",715.576226836563,"[M-H]-","SM(d18:1/17:0)","SM 35:1 (a\b)",715.57594953,716.583226
"Sulfatide (d18:1:/24:1) [264].(3'-sulfo)Galbeta-Cer(d18:1/24:1(15Z))",888.627190532865,"[M-H]-","(3'-sulfo)Galbeta-Cer(d18:1/24:1(15Z))","Sulfatide (d18:1:/24:1) [264]",888.62400953,889.631286
